file,key_fix_text,label(bbox)
01312096_page-0.png,The previous notice was given to the company on,"[164.0, 313.0, 68.0, 13.0]"
01312096_page-0.png,class of securities,"[56.0, 402.0, 71.0, 10.0]"
01312096_page-0.png,Previous notice Person's notes,"[164.0, 403.0, 64.0, 8.0]"
01312096_page-0.png,Previous notice Voting power,"[243.0, 403.0, 36.0, 9.0]"
01312096_page-0.png,Present notice Person's votes,"[326.0, 401.0, 63.0, 10.0]"
01312096_page-0.png,Present notice Voting power,"[412.0, 401.0, 38.0, 10.0]"
01314156_page-0.png,company name,"[233.0, 200.0, 145.0, 15.0]"
01314156_page-0.png,company ACN/ARSN,"[232.0, 226.0, 52.0, 12.0]"
01314156_page-0.png,substantial holder name,"[229.0, 263.0, 156.0, 12.0]"
01314156_page-0.png,holder ACN/ARSN,"[230.0, 279.0, 51.0, 11.0]"
01314156_page-0.png,There was a change in the interests of the substantial holder on,"[260.0, 306.0, 64.0, 13.0]"
01314156_page-0.png,The previous notice was dated,"[260.0, 325.0, 63.0, 11.0]"
01314156_page-0.png,The previous notice was given to the company on,"[261.0, 343.0, 61.0, 13.0]"
01314156_page-0.png,class of securities,"[122.0, 450.0, 32.0, 12.0]"
01314156_page-0.png,Previous notice Person's notes,"[220.0, 451.0, 41.0, 10.0]"
01314156_page-0.png,Present notice Person's votes,"[371.0, 451.0, 39.0, 11.0]"
01314156_page-0.png,Present notice Voting power,"[428.0, 451.0, 24.0, 9.0]"
01314156_page-0.png,Previous notice Voting power,"[293.0, 451.0, 25.0, 10.0]"
01322021_page-0.png,company name,"[232.0, 200.0, 130.0, 13.0]"
01322021_page-0.png,company ACN/ARSN,"[232.0, 226.0, 50.0, 12.0]"
01322021_page-0.png,substantial holder name,"[231.0, 264.0, 155.0, 13.0]"
01322021_page-0.png,holder ACN/ARSN,"[231.0, 280.0, 48.0, 8.0]"
01322021_page-0.png,There was a change in the interests of the substantial holder on,"[257.0, 305.0, 66.0, 15.0]"
01322021_page-0.png,The previous notice was dated,"[261.0, 325.0, 64.0, 12.0]"
01322021_page-0.png,The previous notice was given to the company on,"[262.0, 343.0, 59.0, 12.0]"
01322021_page-0.png,class of securities,"[122.0, 451.0, 31.0, 11.0]"
01322021_page-0.png,Previous notice Person's notes,"[222.0, 452.0, 37.0, 9.0]"
01322021_page-0.png,Present notice Person's votes,"[370.0, 452.0, 36.0, 9.0]"
01322021_page-0.png,Present notice Voting power,"[427.0, 452.0, 23.0, 9.0]"
01322021_page-0.png,Previous notice Voting power,"[293.0, 451.0, 23.0, 10.0]"
01327411_page-0.png,company name,"[150.0, 179.0, 107.0, 14.0]"
01327411_page-0.png,company ACN/ARSN,-1
01327411_page-0.png,substantial holder name,"[151.0, 248.0, 134.0, 17.0]"
01327411_page-0.png,holder ACN/ARSN,"[150.0, 269.0, 21.0, 11.0]"
01327411_page-0.png,There was a change in the interests of the substantial holder on,"[222.0, 305.0, 53.0, 12.0]"
01327411_page-0.png,The previous notice was dated,"[223.0, 325.0, 51.0, 11.0]"
01327411_page-0.png,The previous notice was given to the company on,"[223.0, 343.0, 50.0, 11.0]"
01327411_page-0.png,class of securities,"[41.0, 445.0, 34.0, 11.0]"
01327411_page-0.png,Previous notice Person's notes,"[141.0, 445.0, 44.0, 11.0]"
01327411_page-0.png,Present notice Person's votes,"[290.0, 446.0, 40.0, 9.0]"
01327411_page-0.png,Present notice Voting power,"[353.0, 446.0, 25.0, 9.0]"
01327411_page-0.png,Previous notice Voting power,"[203.0, 446.0, 26.0, 9.0]"
01327879_page-0.png,company name,"[133.0, 200.0, 104.0, 14.0]"
01327879_page-0.png,company ACN/ARSN,"[133.0, 214.0, 68.0, 12.0]"
01327879_page-0.png,substantial holder name,"[134.0, 292.0, 120.0, 15.0]"
01327879_page-0.png,holder ACN/ARSN,"[134.0, 308.0, 95.0, 11.0]"
01327879_page-0.png,There was a change in the interests of the substantial holder on,"[408.0, 371.0, 61.0, 14.0]"
01327879_page-0.png,The previous notice was dated,"[409.0, 390.0, 59.0, 13.0]"
01327879_page-0.png,The previous notice was given to the company on,"[409.0, 410.0, 59.0, 12.0]"
01327879_page-0.png,class of securities,"[47.0, 576.0, 49.0, 12.0]"
01327879_page-0.png,Previous notice Person's notes,"[168.0, 576.0, 59.0, 11.0]"
01327879_page-0.png,Previous notice Voting power,"[274.0, 577.0, 49.0, 10.0]"
01327879_page-0.png,Present notice Person's votes,"[370.0, 577.0, 58.0, 10.0]"
01327879_page-0.png,Present notice Voting power,"[478.0, 577.0, 45.0, 11.0]"
01330181_page-0.png,company name,"[231.0, 212.0, 104.0, 16.0]"
01330181_page-0.png,company ACN/ARSN,"[231.0, 239.0, 51.0, 13.0]"
01330181_page-0.png,substantial holder name,"[230.0, 275.0, 156.0, 15.0]"
01330181_page-0.png,holder ACN/ARSN,"[230.0, 292.0, 50.0, 13.0]"
01330181_page-0.png,There was a change in the interests of the substantial holder on,"[263.0, 319.0, 56.0, 12.0]"
01330181_page-0.png,The previous notice was dated,"[263.0, 339.0, 54.0, 11.0]"
01330181_page-0.png,The previous notice was given to the company on,"[263.0, 357.0, 54.0, 11.0]"
01330181_page-0.png,class of securities,"[122.0, 462.0, 32.0, 12.0]"
01330181_page-0.png,Previous notice Person's notes,"[221.0, 463.0, 33.0, 10.0]"
01330181_page-0.png,Present notice Person's votes,"[370.0, 462.0, 34.0, 12.0]"
01330181_page-0.png,Present notice Voting power,"[427.0, 462.0, 23.0, 11.0]"
01330181_page-0.png,Previous notice Voting power,"[292.0, 462.0, 24.0, 11.0]"
01330743_page-0.png,company name,"[162.0, 147.0, 90.0, 12.0]"
01330743_page-0.png,company ACN/ARSN,-1
01330743_page-0.png,substantial holder name,"[161.0, 197.0, 184.0, 62.0]"
01330743_page-0.png,holder ACN/ARSN,-1
01330743_page-0.png,There was a change in the interests of the substantial holder on,"[163.0, 284.0, 96.0, 11.0]"
01330743_page-0.png,The previous notice was dated,"[163.0, 305.0, 80.0, 9.0]"
01330743_page-0.png,The previous notice was given to the company on,"[164.0, 324.0, 79.0, 10.0]"
01330743_page-0.png,class of securities,"[58.0, 412.0, 68.0, 8.0]"
01330743_page-0.png,Previous notice Person's notes,"[164.0, 411.0, 58.0, 9.0]"
01330743_page-0.png,Previous notice Voting power,"[242.0, 412.0, 36.0, 8.0]"
01330743_page-0.png,Present notice Person's votes,"[328.0, 411.0, 56.0, 9.0]"
01330743_page-0.png,Present notice Voting power,"[411.0, 411.0, 31.0, 8.0]"
01331561_page-0.png,company name,"[236.0, 187.0, 131.0, 11.0]"
01331561_page-0.png,company ACN/ARSN,"[237.0, 215.0, 72.0, 12.0]"
01331561_page-0.png,substantial holder name,"[236.0, 261.0, 272.0, 21.0]"
01331561_page-0.png,holder ACN/ARSN,"[234.0, 299.0, 73.0, 11.0]"
01331561_page-0.png,There was a change in the interests of the substantial holder on,"[268.0, 345.0, 37.0, 13.0]"
01331561_page-0.png,The previous notice was dated,"[268.0, 374.0, 40.0, 11.0]"
01331561_page-0.png,The previous notice was given to the company on,"[268.0, 402.0, 40.0, 11.0]"
01331561_page-0.png,class of securities,"[88.0, 516.0, 61.0, 23.0]"
01331561_page-0.png,Previous notice Person's notes,"[172.0, 517.0, 52.0, 11.0]"
01331561_page-0.png,Present notice Person's votes,"[343.0, 516.0, 50.0, 12.0]"
01331561_page-0.png,Present notice Voting power,"[428.0, 516.0, 30.0, 12.0]"
01331561_page-0.png,Previous notice Voting power,"[259.0, 516.0, 29.0, 11.0]"
01333748_page-0.png,company name,"[183.0, 142.0, 137.0, 14.0]"
01333748_page-0.png,company ACN/ARSN,"[184.0, 164.0, 41.0, 13.0]"
01333748_page-0.png,substantial holder name,"[184.0, 212.0, 105.0, 14.0]"
01333748_page-0.png,holder ACN/ARSN,"[184.0, 228.0, 43.0, 12.0]"
01333748_page-0.png,There was a change in the interests of the substantial holder on,"[260.0, 266.0, 66.0, 14.0]"
01333748_page-0.png,The previous notice was dated,"[262.0, 287.0, 62.0, 11.0]"
01333748_page-0.png,The previous notice was given to the company on,"[262.0, 304.0, 60.0, 14.0]"
01333748_page-0.png,Previous notice Person's notes,"[219.0, 412.0, 34.0, 9.0]"
01333748_page-0.png,Previous notice Voting power,"[300.0, 411.0, 31.0, 9.0]"
01333748_page-0.png,Present notice Person's votes,"[388.0, 411.0, 37.0, 9.0]"
01333748_page-0.png,Present notice Voting power,"[460.0, 411.0, 33.0, 9.0]"
01333748_page-0.png,class of securities,"[124.0, 411.0, 50.0, 10.0]"
01334844_page-0.png,company name,"[230.0, 213.0, 109.0, 15.0]"
01334844_page-0.png,company ACN/ARSN,"[230.0, 240.0, 52.0, 13.0]"
01334844_page-0.png,substantial holder name,"[229.0, 276.0, 156.0, 14.0]"
01334844_page-0.png,holder ACN/ARSN,"[229.0, 292.0, 51.0, 11.0]"
01334844_page-0.png,There was a change in the interests of the substantial holder on,"[262.0, 320.0, 57.0, 12.0]"
01334844_page-0.png,The previous notice was dated,"[263.0, 339.0, 55.0, 12.0]"
01334844_page-0.png,The previous notice was given to the company on,"[262.0, 358.0, 56.0, 10.0]"
01334844_page-0.png,class of securities,"[121.0, 462.0, 33.0, 13.0]"
01334844_page-0.png,Previous notice Person's notes,"[221.0, 463.0, 34.0, 10.0]"
01334844_page-0.png,Present notice Person's votes,"[371.0, 462.0, 33.0, 11.0]"
01334844_page-0.png,Present notice Voting power,"[426.0, 462.0, 23.0, 11.0]"
01334844_page-0.png,Previous notice Voting power,"[291.0, 463.0, 25.0, 10.0]"
01339499_page-0.png,company name,"[195.0, 156.0, 94.0, 13.0]"
01339499_page-0.png,company ACN/ARSN,"[194.0, 172.0, 50.0, 12.0]"
01339499_page-0.png,substantial holder name,"[194.0, 224.0, 349.0, 14.0]"
01339499_page-0.png,holder ACN/ARSN,"[196.0, 240.0, 47.0, 12.0]"
01339499_page-0.png,There was a change in the interests of the substantial holder on,"[300.0, 275.0, 51.0, 11.0]"
01339499_page-0.png,The previous notice was dated,"[301.0, 300.0, 48.0, 11.0]"
01339499_page-0.png,The previous notice was given to the company on,"[301.0, 314.0, 48.0, 12.0]"
01339499_page-0.png,class of securities,"[54.0, 441.0, 120.0, 23.0]"
01339499_page-0.png,Previous notice Person's notes,"[204.0, 442.0, 44.0, 11.0]"
01339499_page-0.png,Present notice Person's votes,"[383.0, 442.0, 41.0, 10.0]"
01339499_page-0.png,Present notice Voting power,"[474.0, 441.0, 28.0, 12.0]"
01339499_page-0.png,Previous notice Voting power,"[292.0, 442.0, 30.0, 10.0]"
01342494_page-0.png,company name,"[234.0, 184.0, 113.0, 15.0]"
01342494_page-0.png,company ACN/ARSN,"[236.0, 213.0, 74.0, 14.0]"
01342494_page-0.png,substantial holder name,"[235.0, 260.0, 272.0, 22.0]"
01342494_page-0.png,holder ACN/ARSN,"[231.0, 297.0, 76.0, 14.0]"
01342494_page-0.png,There was a change in the interests of the substantial holder on,"[266.0, 344.0, 41.0, 14.0]"
01342494_page-0.png,The previous notice was dated,"[268.0, 372.0, 42.0, 13.0]"
01342494_page-0.png,The previous notice was given to the company on,"[266.0, 400.0, 48.0, 13.0]"
01342494_page-0.png,class of securities,"[87.0, 516.0, 58.0, 23.0]"
01342494_page-0.png,Previous notice Person's notes,"[174.0, 516.0, 48.0, 13.0]"
01342494_page-0.png,Present notice Person's votes,"[343.0, 515.0, 51.0, 15.0]"
01342494_page-0.png,Present notice Voting power,"[430.0, 516.0, 34.0, 13.0]"
01342494_page-0.png,Previous notice Voting power,"[259.0, 515.0, 34.0, 12.0]"
01344731_page-0.png,company name,"[148.0, 135.0, 68.0, 13.0]"
01344731_page-0.png,company ACN/ARSN,"[148.0, 160.0, 49.0, 11.0]"
01344731_page-0.png,substantial holder name,"[146.0, 192.0, 99.0, 13.0]"
01344731_page-0.png,holder ACN/ARSN,-1
01344731_page-0.png,There was a change in the interests of the substantial holder on,"[191.0, 228.0, 54.0, 14.0]"
01344731_page-0.png,The previous notice was dated,"[191.0, 250.0, 54.0, 11.0]"
01344731_page-0.png,The previous notice was given to the company on,"[190.0, 271.0, 53.0, 12.0]"
01344731_page-0.png,class of securities,"[58.0, 384.0, 66.0, 11.0]"
01344731_page-0.png,Previous notice Person's notes,"[170.0, 383.0, 49.0, 11.0]"
01344731_page-0.png,Present notice Person's votes,"[334.0, 383.0, 49.0, 11.0]"
01344731_page-0.png,Present notice Voting power,"[397.0, 382.0, 32.0, 12.0]"
01344731_page-0.png,Previous notice Voting power,"[234.0, 384.0, 32.0, 10.0]"
01346455_page-0.png,company name,"[179.0, 149.0, 80.0, 14.0]"
01346455_page-0.png,company ACN/ARSN,"[182.0, 173.0, 40.0, 12.0]"
01346455_page-0.png,substantial holder name,"[182.0, 235.0, 255.0, 26.0]"
01346455_page-0.png,holder ACN/ARSN,-1
01346455_page-0.png,There was a change in the interests of the substantial holder on,"[206.0, 273.0, 42.0, 10.0]"
01346455_page-0.png,The previous notice was dated,"[198.0, 283.0, 42.0, 9.0]"
01346455_page-0.png,The previous notice was given to the company on,"[206.0, 293.0, 43.0, 10.0]"
01346455_page-0.png,class of securities,"[110.0, 429.0, 62.0, 9.0]"
01346455_page-0.png,Previous notice Person's notes,"[204.0, 429.0, 42.0, 9.0]"
01346455_page-0.png,Present notice Person's votes,"[372.0, 428.0, 43.0, 9.0]"
01346455_page-0.png,Present notice Voting power,"[440.0, 428.0, 31.0, 9.0]"
01346455_page-0.png,Previous notice Voting power,"[270.0, 428.0, 32.0, 9.0]"
01355023_page-0.png,company name,"[183.0, 124.0, 179.0, 14.0]"
01355023_page-0.png,company ACN/ARSN,"[184.0, 142.0, 60.0, 12.0]"
01355023_page-0.png,substantial holder name,"[184.0, 185.0, 350.0, 20.0]"
01355023_page-0.png,holder ACN/ARSN,"[183.0, 208.0, 62.0, 12.0]"
01355023_page-0.png,There was a change in the interests of the substantial holder on,"[253.0, 244.0, 105.0, 12.0]"
01355023_page-0.png,The previous notice was dated,"[253.0, 262.0, 42.0, 10.0]"
01355023_page-0.png,The previous notice was given to the company on,"[252.0, 279.0, 45.0, 11.0]"
01355023_page-0.png,class of securities,"[84.0, 396.0, 79.0, 14.0]"
01355023_page-0.png,Previous notice Person's notes,"[213.0, 399.0, 49.0, 10.0]"
01355023_page-0.png,Previous notice Voting power,"[298.0, 398.0, 29.0, 10.0]"
01355023_page-0.png,Present notice Person's votes,"[382.0, 399.0, 50.0, 10.0]"
01355023_page-0.png,Present notice Voting power,"[454.0, 397.0, 30.0, 12.0]"
01359605_page-1.png,company name,"[236.0, 184.0, 181.0, 15.0]"
01359605_page-1.png,company ACN/ARSN,"[238.0, 214.0, 70.0, 13.0]"
01359605_page-1.png,substantial holder name,"[235.0, 262.0, 186.0, 11.0]"
01359605_page-1.png,holder ACN/ARSN,"[235.0, 289.0, 71.0, 13.0]"
01359605_page-1.png,There was a change in the interests of the substantial holder on,"[264.0, 335.0, 47.0, 14.0]"
01359605_page-1.png,The previous notice was dated,"[268.0, 364.0, 42.0, 12.0]"
01359605_page-1.png,The previous notice was given to the company on,"[268.0, 393.0, 41.0, 11.0]"
01359605_page-1.png,class of securities,"[89.0, 508.0, 55.0, 21.0]"
01359605_page-1.png,Previous notice Person's notes,"[173.0, 508.0, 43.0, 12.0]"
01359605_page-1.png,Present notice Person's votes,"[344.0, 507.0, 44.0, 12.0]"
01359605_page-1.png,Present notice Voting power,"[429.0, 507.0, 29.0, 11.0]"
01359605_page-1.png,Previous notice Voting power,"[259.0, 508.0, 35.0, 10.0]"
01359608_page-1.png,company name,"[237.0, 187.0, 96.0, 12.0]"
01359608_page-1.png,company ACN/ARSN,"[237.0, 216.0, 73.0, 11.0]"
01359608_page-1.png,substantial holder name,"[236.0, 262.0, 187.0, 11.0]"
01359608_page-1.png,holder ACN/ARSN,"[234.0, 290.0, 74.0, 12.0]"
01359608_page-1.png,There was a change in the interests of the substantial holder on,"[268.0, 337.0, 42.0, 10.0]"
01359608_page-1.png,The previous notice was dated,"[268.0, 365.0, 40.0, 10.0]"
01359608_page-1.png,The previous notice was given to the company on,"[269.0, 393.0, 38.0, 11.0]"
01359608_page-1.png,class of securities,"[88.0, 507.0, 55.0, 22.0]"
01359608_page-1.png,Previous notice Person's notes,"[174.0, 507.0, 48.0, 11.0]"
01359608_page-1.png,Present notice Person's votes,"[344.0, 507.0, 48.0, 11.0]"
01359608_page-1.png,Present notice Voting power,"[429.0, 508.0, 31.0, 10.0]"
01359608_page-1.png,Previous notice Voting power,"[258.0, 507.0, 32.0, 10.0]"
01368409_page-0.png,company name,"[132.0, 197.0, 125.0, 18.0]"
01368409_page-0.png,company ACN/ARSN,"[133.0, 216.0, 71.0, 13.0]"
01368409_page-0.png,substantial holder name,"[133.0, 294.0, 120.0, 15.0]"
01368409_page-0.png,holder ACN/ARSN,"[135.0, 309.0, 68.0, 12.0]"
01368409_page-0.png,There was a change in the interests of the substantial holder on,"[409.0, 372.0, 63.0, 15.0]"
01368409_page-0.png,The previous notice was dated,"[409.0, 392.0, 60.0, 13.0]"
01368409_page-0.png,The previous notice was given to the company on,"[409.0, 412.0, 62.0, 13.0]"
01368409_page-0.png,class of securities,"[48.0, 577.0, 48.0, 14.0]"
01368409_page-0.png,Previous notice Person's notes,"[168.0, 578.0, 57.0, 11.0]"
01368409_page-0.png,Previous notice Voting power,"[272.0, 577.0, 49.0, 13.0]"
01368409_page-0.png,Present notice Person's votes,"[370.0, 578.0, 58.0, 11.0]"
01368409_page-0.png,Present notice Voting power,"[479.0, 577.0, 45.0, 12.0]"
01369341_page-0.png,company name,"[239.0, 125.0, 114.0, 12.0]"
01369341_page-0.png,company ACN/ARSN,"[238.0, 137.0, 76.0, 11.0]"
01369341_page-0.png,substantial holder name,"[239.0, 168.0, 154.0, 13.0]"
01369341_page-0.png,holder ACN/ARSN,"[238.0, 180.0, 79.0, 11.0]"
01369341_page-0.png,There was a change in the interests of the substantial holder on,"[249.0, 204.0, 56.0, 14.0]"
01369341_page-0.png,The previous notice was dated,"[249.0, 227.0, 54.0, 13.0]"
01369341_page-0.png,The previous notice was given to the company on,"[250.0, 247.0, 53.0, 12.0]"
01369341_page-0.png,class of securities,"[80.0, 338.0, 106.0, 11.0]"
01369341_page-0.png,Previous notice Person's notes,"[239.0, 338.0, 49.0, 11.0]"
01369341_page-0.png,Present notice Person's votes,"[403.0, 338.0, 49.0, 10.0]"
01369341_page-0.png,Present notice Voting power,"[495.0, 339.0, 29.0, 9.0]"
01369341_page-0.png,Previous notice Voting power,"[329.0, 338.0, 31.0, 10.0]"
01370460_page-0.png,company name,"[170.0, 134.0, 144.0, 12.0]"
01370460_page-0.png,company ACN/ARSN,"[169.0, 153.0, 79.0, 11.0]"
01370460_page-0.png,substantial holder name,"[169.0, 203.0, 215.0, 10.0]"
01370460_page-0.png,holder ACN/ARSN,"[169.0, 221.0, 79.0, 11.0]"
01370460_page-0.png,There was a change in the interests of the substantial holder on,"[241.0, 259.0, 57.0, 11.0]"
01370460_page-0.png,The previous notice was dated,"[242.0, 278.0, 55.0, 10.0]"
01370460_page-0.png,The previous notice was given to the company on,"[243.0, 296.0, 56.0, 9.0]"
01370460_page-0.png,class of securities,"[62.0, 418.0, 107.0, 19.0]"
01370460_page-0.png,Previous notice Person's notes,"[201.0, 422.0, 55.0, 11.0]"
01370460_page-0.png,Previous notice Voting power,"[292.0, 423.0, 28.0, 9.0]"
01370460_page-0.png,Present notice Person's votes,"[381.0, 422.0, 55.0, 11.0]"
01370460_page-0.png,Present notice Voting power,"[458.0, 423.0, 28.0, 9.0]"
01370855_page-0.png,company name,"[231.0, 213.0, 123.0, 14.0]"
01370855_page-0.png,company ACN/ARSN,"[233.0, 240.0, 202.0, 47.0]"
01370855_page-0.png,substantial holder name,"[231.0, 311.0, 155.0, 14.0]"
01370855_page-0.png,holder ACN/ARSN,"[231.0, 327.0, 50.0, 11.0]"
01370855_page-0.png,There was a change in the interests of the substantial holder on,"[263.0, 356.0, 56.0, 9.0]"
01370855_page-0.png,The previous notice was dated,"[263.0, 374.0, 55.0, 10.0]"
01370855_page-0.png,The previous notice was given to the company on,"[263.0, 392.0, 56.0, 10.0]"
01370855_page-0.png,class of securities,"[121.0, 496.0, 32.0, 12.0]"
01370855_page-0.png,Previous notice Person's notes,"[222.0, 497.0, 35.0, 11.0]"
01370855_page-0.png,Present notice Person's votes,"[370.0, 497.0, 37.0, 10.0]"
01370855_page-0.png,Present notice Voting power,"[427.0, 497.0, 22.0, 10.0]"
01370855_page-0.png,Previous notice Voting power,"[292.0, 498.0, 23.0, 9.0]"
01372560_page-0.png,company name,"[236.0, 187.0, 111.0, 12.0]"
01372560_page-0.png,company ACN/ARSN,"[238.0, 216.0, 74.0, 11.0]"
01372560_page-0.png,substantial holder name,"[235.0, 261.0, 273.0, 21.0]"
01372560_page-0.png,holder ACN/ARSN,"[234.0, 299.0, 73.0, 12.0]"
01372560_page-0.png,There was a change in the interests of the substantial holder on,"[268.0, 346.0, 37.0, 11.0]"
01372560_page-0.png,The previous notice was dated,"[269.0, 375.0, 41.0, 10.0]"
01372560_page-0.png,The previous notice was given to the company on,"[267.0, 403.0, 36.0, 10.0]"
01372560_page-0.png,class of securities,"[88.0, 517.0, 56.0, 22.0]"
01372560_page-0.png,Previous notice Person's notes,"[175.0, 517.0, 46.0, 12.0]"
01372560_page-0.png,Present notice Person's votes,"[344.0, 517.0, 49.0, 10.0]"
01372560_page-0.png,Present notice Voting power,"[430.0, 517.0, 28.0, 10.0]"
01372560_page-0.png,Previous notice Voting power,"[260.0, 516.0, 32.0, 12.0]"
01373528_page-0.png,company name,"[160.0, 145.0, 101.0, 18.0]"
01373528_page-0.png,company ACN/ARSN,"[166.0, 169.0, 71.0, 15.0]"
01373528_page-0.png,substantial holder name,"[162.0, 231.0, 258.0, 17.0]"
01373528_page-0.png,holder ACN/ARSN,"[164.0, 248.0, 85.0, 14.0]"
01373528_page-0.png,There was a change in the interests of the substantial holder on,"[218.0, 285.0, 64.0, 16.0]"
01373528_page-0.png,The previous notice was dated,"[216.0, 303.0, 67.0, 12.0]"
01373528_page-0.png,The previous notice was given to the company on,"[217.0, 316.0, 64.0, 12.0]"
01373528_page-0.png,Previous notice Person's notes,"[204.0, 425.0, 53.0, 15.0]"
01373528_page-0.png,Previous notice Voting power,"[284.0, 427.0, 38.0, 13.0]"
01373528_page-0.png,Present notice Person's votes,"[372.0, 427.0, 54.0, 13.0]"
01373528_page-0.png,Present notice Voting power,"[454.0, 426.0, 36.0, 13.0]"
01373528_page-0.png,class of securities,"[92.0, 425.0, 74.0, 15.0]"
01376050_page-0.png,company name,"[162.0, 141.0, 93.0, 13.0]"
01376050_page-0.png,company ACN/ARSN,-1
01376050_page-0.png,substantial holder name,"[160.0, 190.0, 185.0, 44.0]"
01376050_page-0.png,holder ACN/ARSN,-1
01376050_page-0.png,There was a change in the interests of the substantial holder on,"[162.0, 250.0, 88.0, 11.0]"
01376050_page-0.png,The previous notice was dated,"[163.0, 268.0, 90.0, 12.0]"
01376050_page-0.png,The previous notice was given to the company on,"[163.0, 288.0, 90.0, 12.0]"
01376050_page-0.png,class of securities,"[57.0, 375.0, 69.0, 10.0]"
01376050_page-0.png,Previous notice Person's notes,"[143.0, 375.0, 58.0, 10.0]"
01376050_page-0.png,Previous notice Voting power,"[242.0, 375.0, 36.0, 10.0]"
01376050_page-0.png,Present notice Person's votes,"[327.0, 375.0, 62.0, 10.0]"
01376050_page-0.png,Present notice Voting power,"[411.0, 374.0, 37.0, 11.0]"
01381847_page-0.png,company name,"[131.0, 214.0, 139.0, 18.0]"
01381847_page-0.png,company ACN/ARSN,"[135.0, 232.0, 71.0, 12.0]"
01381847_page-0.png,substantial holder name,"[133.0, 308.0, 120.0, 15.0]"
01381847_page-0.png,holder ACN/ARSN,"[135.0, 323.0, 67.0, 13.0]"
01381847_page-0.png,There was a change in the interests of the substantial holder on,"[408.0, 387.0, 61.0, 15.0]"
01381847_page-0.png,The previous notice was dated,"[409.0, 405.0, 60.0, 16.0]"
01381847_page-0.png,The previous notice was given to the company on,"[409.0, 424.0, 60.0, 16.0]"
01381847_page-0.png,class of securities,"[49.0, 591.0, 47.0, 14.0]"
01381847_page-0.png,Previous notice Person's notes,"[168.0, 591.0, 56.0, 14.0]"
01381847_page-0.png,Previous notice Voting power,"[250.0, 592.0, 46.0, 13.0]"
01381847_page-0.png,Present notice Person's votes,"[369.0, 592.0, 61.0, 13.0]"
01381847_page-0.png,Present notice Voting power,"[453.0, 592.0, 48.0, 13.0]"
01382283_page-0.png,company name,"[232.0, 214.0, 141.0, 12.0]"
01382283_page-0.png,company ACN/ARSN,"[233.0, 239.0, 48.0, 12.0]"
01382283_page-0.png,substantial holder name,"[230.0, 277.0, 155.0, 12.0]"
01382283_page-0.png,holder ACN/ARSN,"[231.0, 292.0, 48.0, 11.0]"
01382283_page-0.png,There was a change in the interests of the substantial holder on,"[262.0, 320.0, 56.0, 10.0]"
01382283_page-0.png,The previous notice was dated,"[263.0, 340.0, 53.0, 10.0]"
01382283_page-0.png,The previous notice was given to the company on,"[263.0, 359.0, 54.0, 8.0]"
01382283_page-0.png,class of securities,"[122.0, 463.0, 31.0, 11.0]"
